id,status,checkpoint,current_evidence,acceptance_criteria,verification,next_action
CP0,verified,Baseline audit and tracking,"Tracker split records scope, current snapshot, capability inventory, architecture reading, parity ledger, checkpoint matrix, and progress evidence.","Durable tracker files exist under docs/maintenance/ed2k and current red ED2K tests are either fixed or documented with root cause.","git status --short; git diff --check; targeted aria2_tests evidence recorded in progress.md","Keep tracker files synchronized after every ED2K checkpoint."
CP1,verified,Stabilize current ED2K tests,"The two known ED2K failures were traced and fixed. Source Exchange serializes unknown source servers as 0.0.0.0:0. The UDP server status test waits for local UDP readability before executing the receive path.","Root cause is traced for Source Exchange answer serialization and UDP server status scheduling. Fixes are minimal and do not hide failures.","cmake --build --preset default --target aria2_tests; ctest --preset default --output-on-failure -R aria2_tests","Use the stable baseline before broad protocol work."
CP2,verified,Reference parity audit,"The parity ledger classifies meaningful reference subsystems as port, adapt, replace, or prune. The ledger records daemon, UI, runtime, and deprecated surfaces that must not be ported.","Audit all reference areas in reference-parity.csv. Record a decision for each meaningful subsystem. Prune only with evidence, reason, and user-visible impact.","Focused reference inspection with rg and sed; documentation review; git diff --check","Keep reference-parity.csv current when a checkpoint changes scope or behavior."
CP3,verified,Protocol module boundaries,"ed2k_helper.cc has been deleted. ed2k_helper.h is an aggregation header for broad helper tests only. Constants live in ed2k_constants.h. Production callers use focused ED2K headers where practical.","Split necessary helpers into focused modules with no behavior drift. Keep CMake source inventory accurate. Avoid mechanical splits with no checkpoint need.","cmake --build --preset default --target aria2_tests; ctest --preset default --output-on-failure -R aria2_tests; git diff --check","Continue module cleanup only when later checkpoints require ownership boundaries."
CP4,verified,Link support,"File links, part hashes, AICH hashes, inline sources, source hashes, crypt options, server links, serverlist links, nodeslist links, encoded separators, UTF-8 names, safe output filenames, positive file sizes, and malformed hash rejection are covered.","Parse and serialize file, server, serverlist, and nodeslist links, part hashes, AICH hashes, inline sources, source hashes, crypt options, safe output filenames, and non-pruned reference variants.","Focused link parser coverage through Ed2kHelperTest plus ProtocolDetector coverage; latest verification recorded in progress.md","Move to CP5 around RequestGroup, disk, control-file, and resume state."
CP5,verified,RequestGroup disk and resume spine,"ED2K request groups use DownloadContext, DefaultPieceStorage, SegmentMan, disk adaptor, and control file paths. Session writes the ED2K file link with learned hashsets, AICH root, and learned sources, plus hidden cumulative server-state lines and Kad routing state. Restored server-state endpoints are merged into the schedulable server list.","ED2K downloads and searches start through existing request group paths. Resume is restart-safe for active download metadata, piece state through existing control files, hashset state, AICH root state, learned sources, server state, and Kad routing state. Shared files and credits are not active CP5 state because their owner models begin at CP13 and CP14.","cmake --build --preset default --target aria2_tests; ctest --preset default --output-on-failure -R aria2_tests; git diff --check","Move to CP6 server session ownership and protocol behavior."
CP6,verified,Server TCP and UDP support,"Direct servers, server.met metadata, server login, IDChange HighID/LowID state, GetSources, FoundSources, callback request, server status, server message, server list, UDP global status, retry/backoff, persisted server state, and client UDP reask handling are implemented on the existing command paths. Learned server-list endpoints are scheduled through the shared server scheduler, server control connections no longer consume ED2K peer download slots, duplicate in-flight server connects are suppressed, handler-selected WRITE/DONE states survive packet body reads, handshake-complete servers can be rescheduled for timed source refreshes, server.met name, description, and hostname preference tags are merged into persisted server state, server callback-requested packets accept both base and extended payloads, and ED2K UDP accepts REASKACK, QUEUEFULL, FILENOTFOUND, and REASKFILEPING packets. UDP buddy callback and upload-queue-aware ranks are CP14 upload ownership.","Direct servers and server.met load correctly. Server login, HighID/LowID, status/messages, GetSources/FoundSources, callback, server list, UDP global status, retry/backoff, and persisted server state are correct and scheduled.","cmake --build --preset default --target aria2_tests; ctest --preset default --output-on-failure -R aria2_tests; git diff --check","Move to CP7 peer outbound download session."
CP7,verified,Peer outbound download session,"Outgoing peer TCP, hello, eMule info, file request/status, hashset, accept upload, queue rank, normal parts, compressed parts, and part hash verification are implemented for the current outbound download path. Peer queue, part-status, connecting, accepted, requested-part ranges, out-of-parts, cancelled, no-file, dead-peer, failure, and reconnect-backoff state has first-class PeerState ownership. Peer scheduling skips dead peers until retry time and skips already connecting peers. Peer TCP OP_QUEUERANK/OP_QUEUERANKING updates PeerState queue rank, peer command connection failures enter PeerState retry backoff, corrupt full-piece hash failures have local socket coverage proving PeerState retry backoff, successful/cancelled/failed peer lifecycles clear requested-part state, EOF during partial packet reads enters PeerState retry backoff instead of silently rescheduling, and unexpected peer part ranges are rejected before disk writes. Peer data write, SegmentMan completion, and MD4 verification live in Ed2kPeerTransfer instead of the overloaded command. Normal part, compressed part, and 64-bit request payload behavior now have focused evidence. Incoming peer acceptance remains CP8. Source Exchange merge policy remains CP9. Full ED2K-aware piece policy remains CP10. Upload responses remain CP14.","Peer state machine handles 32-bit and 64-bit requests, normal and compressed parts, out-of-parts, cancel transfer, duplicate rejection, failure scoring, reconnect backoff, and corrupt piece retry.","cmake --build --preset default --target aria2_tests; ctest --preset default --output-on-failure -R aria2_tests; git diff --check","Move to CP8 incoming peer listener."
CP8,verified,Incoming peer listener,"Incoming ED2K TCP connections are accepted through Ed2kListenCommand on aria2-next's existing EventPoll path. The listener is created once per engine from ED2K request-group startup, honors --ed2k-listen-port, routes only when there is a unique active ED2K download group, rejects duplicate active endpoints, and hands accepted sockets to Ed2kCommand. Incoming peer Hello packets now normalize the temporary TCP source endpoint to the advertised ED2K listen port and user hash before continuing through the peer state machine. Shared/completed-file matching remains CP13/CP14 ownership.","Incoming ED2K peer connections for active downloads are accepted through aria2-next's event loop, deduplicated, and routed into the peer state machine. Shared/completed file upload matching is intentionally deferred to the shared store and upload checkpoints.","git diff --check; cmake --build --preset default --target aria2_tests; ctest --preset default --output-on-failure -R aria2_tests","Move to CP9 Source Exchange merge policy."
CP9,verified,Source Exchange SX1 and SX2,"Request and answer helpers plus command handlers exist. SX1 and SX2 answers now merge through a dedicated policy path that filters invalid, loopback, and remote-self endpoints, deduplicates peers, preserves SX2 v4 user hash and crypt options, records source labels in PeerState, and keeps retry/backoff state on existing peers. Source Exchange answers are parsed without tests relying on incidental packet order.","SX1 and SX2, including SX2 v4 entries, merge sources into policy state with endpoint validation, deduplication, source labels, and backoff.","git diff --check; cmake --build --preset default --target aria2_tests; ctest --preset default --output-on-failure -R aria2_tests","Move to CP10 ED2K source and piece policy."
CP10,verified,ED2K source and piece policy,"A focused native ED2K policy layer now ranks peer sources, selects connectable peers without the old cursor, skips connecting, accepted, no-file, cancelled, and retry-backoff peers, prefers lower failure counts, applies server/Kad/incoming/resume/SX/inline source priority, preserves queue state and queue rank ordering, selects request segments by peer part availability, keeps suitable in-flight segments, reclaims clean idle-owner segments through SegmentMan, and leaves duplicate block prevention and disk safety on existing aria2-next paths. Inline file-link sources now have a distinct PeerState source flag instead of being mislabeled as resume sources.","Source priority, server/Kad/SX/inline/resume sources, peer availability, queue state, endgame, duplicate block prevention, failed peer recovery, and safe retry are implemented without bypassing existing disk paths.","cmake --build --preset default --target aria2_tests; ctest --preset default --output-on-failure -R aria2_tests; git diff --check","Move to CP11 integrity and compressed transfer completion."
CP11,verified,Integrity and compressed transfer,"MD4 part/root/final verification, compressed part inflate, AICH packet parsing, aMule-compatible AICH tree construction, AICH file-hash answer handling, AICH recovery-data parsing, verified recovery block storage, and corrupt-piece AICH recovery preservation are implemented on the existing disk and PieceStorage paths.","MD4 part/root/final verification, AICH root/tree/file-hash answers/recovery data, compressed part size/range validation, and corrupt piece retry are complete.","cmake --build --preset default --target aria2_tests; build/default/aria2_tests; ctest --preset default --output-on-failure -R aria2_tests; git diff --check","Move to CP12 Kad bootstrap and routing."
CP12,verified,Kad bootstrap and routing,"UDP socket, nodes.dat, bootstrap, hello, routing table snapshot, routing refresh, iterative source/keyword traversal, inbound source publish indexing, outbound completed-source publish, KAD_PUBLISH_RES replies, direct KAD_SEARCH_SOURCES_REQ replies from the local published-source index, passive KAD_FIREWALLED_REQ responses, active KAD_FIREWALLED_REQ probes, observed-address collection, firewalled state, publish/check cursors, and durable Kad operational state exist. Source and keyword lookups start with KAD_REQ, add closer KAD_RES contacts back into the traversal, continue querying closer contacts before final search requests, complete KAD_SEARCH_RES transactions, expire failed transactions back into routing quality, refresh routing buckets with KAD_FIND_NODE, publish completed local downloads only from observed non-private external addresses, and restore routing plus operational state from save-session.","Classic Kad supports nodes.dat loading, bootstrap, hello, routing table maintenance, traversal, source search, source publish, keyword search, firewalled checks, refresh, and durable state.","git diff --check; cmake --build --preset default --target aria2_tests; ctest --preset default --output-on-failure -R aria2_tests; focused local UDP traversal, publish/search, firewalled, and persistence simulations","Move to CP13 sharing and shared store."
CP13,partial,Sharing and shared store,"A first-class native SharedStore exists. Finished single-file ED2K DownloadResult objects are validated against disk, deduplicated by ED2K hash, indexed with path, name, size, piece hashes, AICH root, origin, completion state, and last hash time, and owned by RequestGroupMan. Local files can be imported with --ed2k-share-file, hashed with ED2K MD4 pieces/root and AICH root, restored from hidden ed2k-shared-file-state session metadata, and revalidated against disk size on restore. Shared files now answer peer filename, file status, hashset, empty Source Exchange, AICH file-hash, AICH recovery, and 32/64-bit part requests through the native shared store and existing disk path. Incoming shared/completed-only listener matching and upload queue ownership remain pending.","Completed downloads are shareable. Imported shared files are hashable and indexable. Shared metadata persists and can answer status, hashset, Source Exchange, AICH, and part requests.","cmake --build --preset default --target aria2_tests; build/default/aria2_tests; ctest --preset default --output-on-failure -R aria2_tests; git diff --check","Connect incoming shared/completed-only listener matching, then move protocol-visible queue ranks, slots, limits, statistics, and credits into CP14 upload ownership."
CP14,todo,Upload queue and credits,"The draft has partial response helpers but no upload queue, slots, limits, statistics, or credits.","Upload queue, queue rank, slots, limits, upload statistics, and peer credit behavior integrate with existing transfer stats and limit model.","Upload queue policy tests and local peer request simulation","Implement protocol-visible queue behavior without porting UI-only concepts."
CP15,partial,Search through CLI and RPC,"RPC methods exist for search and results. Server and Kad search are partially implemented.","Server and Kad search return stable structured fields for hash, name, size, sources, complete sources, type, extension, media metadata when present, source network, and generated ED2K link. Results can create normal downloads.","RPC unit coverage or local JSON-RPC smoke test","Stabilize search result fields for Motrix Next before release-facing docs."
CP16,todo,Status surfaces for Motrix Next,"Search result fields exist. Full ED2K status fields do not.","ED2K download, server, peer, Kad, queue, search, share, and upload state are exposed through existing CLI/RPC paths where possible. ED2K-specific fields are stable and documented.","RPC status tests and Motrix integration note review","Add only fields that existing generic status paths cannot represent."
CP17,partial,Documentation and completions,"Manual and completion entries exist, but manual wording may overstate draft capabilities.","CLI help, manual, RPC docs, completions, and Motrix Next notes match the actual implementation exactly.","Documentation review plus completion/help generation checks used by this repository","Keep docs behind code until final feature behavior is verified."
CP18,todo,Full local verification,"Targeted aria2_tests pass for the verified early checkpoints. Full project verification has not been rerun after all ED2K work.","cmake --preset default, cmake --build --preset default, ctest --preset default, and build/default/aria2-next --version all pass. Packaging shell syntax checks run if packaging or release-facing files change.","Required commands recorded in the final progress log","Run only when every earlier checkpoint is implemented and documented."
